実質原系列(前年同期比),,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,(単位:％),,,,
"Real, Original Series (Year-over-Year Percent Change)",,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,(%),,,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,,交易利得,国内総所得,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,,,純受取,受取,支払,,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,,TradingGains/Losses,GDI,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,,,Net,Receipt,Payment,,,,,,,,,,,,,
7- 9.,-0.2 ,2.4 ,2.3 ,2.3 ,-4.2 ,-1.0 ,***,1.9 ,-4.6 ,***,***,-9.8 ,-1.7 ,,***,-0.5 ,***,1.3 ,1.3 ,-0.5 ,,0.7 ,1.0 ,-0.2 ,,-2.4 ,,-0.0 ,,,,
10-12.,-1.7 ,1.1 ,1.0 ,0.7 ,-5.4 ,-7.9 ,***,2.4 ,-4.6 ,***,***,-11.1 ,-7.5 ,,***,-1.7 ,***,-2.9 ,-17.8 ,-1.6 ,,-1.2 ,-1.6 ,0.1 ,,-6.5 ,,-1.4 ,,,,
2002/ 1- 3.,-1.9 ,1.3 ,1.1 ,0.9 ,-6.5 ,-8.8 ,***,2.4 ,-5.8 ,***,***,-3.3 ,-7.2 ,,***,-2.0 ,***,-9.7 ,-31.4 ,-1.9 ,,-2.3 ,-3.0 ,-0.4 ,,-7.7 ,,-0.9 ,,,,
4- 6.,-0.3 ,1.3 ,1.4 ,1.3 ,-1.2 ,-7.9 ,***,1.8 ,-4.1 ,***,***,7.8 ,-2.2 ,,***,-0.1 ,***,-11.8 ,-17.2 ,-0.2 ,,-1.3 ,-1.9 ,0.6 ,,-5.8 ,,0.6 ,,,,
7- 9.,0.9 ,1.3 ,1.4 ,1.3 ,-0.4 ,-4.6 ,***,2.4 ,-4.7 ,***,***,10.5 ,4.1 ,,***,1.1 ,***,-6.4 ,-13.4 ,1.0 ,,0.3 ,0.2 ,0.6 ,,-3.9 ,,0.7 ,,,,
10-12.,1.4 ,1.3 ,1.4 ,1.2 ,-1.9 ,-0.4 ,***,1.0 ,-3.9 ,***,***,17.0 ,8.9 ,,***,1.5 ,***,-10.3 ,-0.8 ,1.2 ,,0.6 ,1.0 ,-0.7 ,,-1.6 ,,1.3 ,,,,
2003/ 1- 3.,1.6 ,1.1 ,1.1 ,1.0 ,-1.8 ,0.4 ,***,1.6 ,-6.4 ,***,***,13.5 ,8.7 ,,***,1.2 ,***,-2.9 ,-2.2 ,1.2 ,,1.0 ,1.6 ,-0.9 ,,-1.8 ,,0.9 ,,,,
4- 6.,1.4 ,0.2 ,0.0 ,-0.3 ,-1.9 ,4.2 ,***,2.0 ,-5.0 ,***,***,5.9 ,2.0 ,,***,1.2 ,***,2.9 ,-6.1 ,1.3 ,,1.0 ,1.1 ,0.5 ,,0.9 ,,1.2 ,,,,
7- 9.,1.3 ,-0.2 ,-0.3 ,-0.8 ,0.7 ,0.1 ,***,1.6 ,-7.6 ,***,***,8.6 ,1.3 ,,***,1.1 ,***,13.6 ,-19.5 ,1.5 ,,0.4 ,0.8 ,-0.8 ,,-1.6 ,,0.6 ,,,,
10-12.,1.9 ,1.5 ,1.3 ,1.2 ,1.0 ,4.5 ,***,2.2 ,-8.3 ,***,***,10.7 ,1.9 ,,***,1.7 ,***,7.5 ,-16.5 ,1.9 ,,0.9 ,1.6 ,-1.1 ,,0.3 ,,2.3 ,,,,
2004/ 1- 3.,3.1 ,1.4 ,1.2 ,1.1 ,2.4 ,3.6 ,***,2.2 ,-7.8 ,***,***,14.5 ,4.5 ,,***,3.1 ,***,11.8 ,-17.1 ,3.4 ,,2.0 ,3.0 ,-0.9 ,,0.4 ,,2.4 ,,,,
4- 6.,2.2 ,1.4 ,1.4 ,1.3 ,3.5 ,2.4 ,***,0.8 ,-10.5 ,***,***,17.9 ,9.7 ,,***,1.8 ,***,20.6 ,3.2 ,2.2 ,,1.1 ,2.0 ,-1.8 ,,-0.3 ,,1.9 ,,,,
7- 9.,2.5 ,2.2 ,2.2 ,2.3 ,2.0 ,4.6 ,***,0.8 ,-10.0 ,***,***,14.7 ,9.7 ,,***,2.1 ,***,10.6 ,4.8 ,2.3 ,,1.7 ,2.8 ,-1.7 ,,0.8 ,,2.3 ,,,,
10-12.,1.1 ,0.4 ,0.4 ,0.1 ,3.7 ,3.0 ,***,0.5 ,-8.3 ,***,***,10.8 ,10.1 ,,***,0.8 ,***,27.5 ,25.0 ,1.2 ,,0.8 ,1.6 ,-1.6 ,,0.2 ,,0.6 ,,,,
2005/ 1- 3.,1.1 ,0.9 ,0.9 ,0.8 ,0.9 ,5.7 ,***,1.0 ,-4.3 ,***,***,4.7 ,6.5 ,,***,0.8 ,***,17.8 ,41.4 ,1.0 ,,1.2 ,1.6 ,-0.0 ,,2.5 ,,1.2 ,,,,
4- 6.,1.7 ,1.5 ,1.5 ,1.5 ,-2.0 ,10.3 ,***,0.9 ,-12.2 ,***,***,5.4 ,6.4 ,,***,1.0 ,***,21.4 ,47.5 ,1.2 ,,1.7 ,2.8 ,-1.9 ,,3.2 ,,1.7 ,,,,
7- 9.,2.0 ,1.5 ,1.5 ,1.5 ,-0.4 ,10.5 ,***,0.3 ,-9.1 ,***,***,7.9 ,7.0 ,,***,1.1 ,***,22.1 ,27.1 ,1.5 ,,1.8 ,2.9 ,-1.9 ,,4.4 ,,2.3 ,,,,
10-12.,2.4 ,2.3 ,2.3 ,2.4 ,0.9 ,6.4 ,***,0.9 ,-8.7 ,***,***,10.3 ,4.0 ,,***,1.2 ,***,27.2 ,49.3 ,1.5 ,,1.5 ,2.6 ,-1.7 ,,1.8 ,,2.8 ,,,,
2006/ 1- 3.,2.5 ,2.1 ,2.1 ,2.2 ,1.6 ,3.9 ,***,-0.4 ,-2.9 ,***,***,14.1 ,6.8 ,,***,1.2 ,***,32.8 ,25.5 ,2.0 ,,1.5 ,2.4 ,-1.2 ,,2.0 ,,2.6 ,,,,
4- 6.,1.4 ,1.1 ,1.1 ,1.1 ,1.8 ,2.0 ,***,0.4 ,-2.2 ,***,***,10.7 ,6.1 ,,***,0.3 ,***,23.5 ,36.7 ,0.6 ,,0.7 ,0.9 ,-0.1 ,,1.1 ,,1.7 ,,,,
7- 9.,0.2 ,-0.6 ,-0.6 ,-1.0 ,-0.3 ,-0.6 ,***,0.6 ,-9.2 ,***,***,9.7 ,3.1 ,,***,-0.7 ,***,21.9 ,30.2 ,-0.2 ,,-0.8 ,-0.6 ,-1.5 ,,-2.1 ,,0.2 ,,,,
